delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delay_hours,delayed,delivery_status,delivery_rating,delivery_cost,cost_per_km,cost_per_kg
70,fedex,documents,bike,same day,central,cold,217.3,3.03,6,8,-2,no,delivered,5,1195.59,5.502024850437183,394.58415841584156
71,amazon logistics,furniture,truck,standard,south,rainy,75.2,28.25,6,24,-18,no,delivered,3,460.75,6.126994680851063,16.309734513274336
72,blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.18,2,16,-14,no,delivered,5,173.54,7.480172413793103,9.047966631908237
73,fedex,documents,ev van,express,north,rainy,78.5,27.87,8,3,5,yes,delayed,3,526.11,6.70203821656051,18.8772874058127
74,blue dart,documents,van,express,north,hot,138.3,47.87,8,4,4,yes,delayed,3,885.11,6.399927693420101,18.48986839356591
75,xpressbees,clothing,truck,two day,north,cold,96.4,39.33,3,16,-13,no,delivered,4,599.99,6.223962655601659,15.255275870836513
76,fedex,furniture,ev van,standard,west,cold,216.2,23.93,11,24,-13,no,delivered,4,1152.79,5.332053654024052,48.173422482239864
77,ekart,clothing,van,express,south,stormy,24.1,34.1,7,2,5,yes,delayed,3,272.8,11.319502074688797,8.0
78,ekart,fragile items,scooter,standard,east,rainy,197.1,28.23,13,24,-11,no,delivered,4,1070.19,5.429680365296804,37.909670563230605
79,shadowfax,documents,ev bike,same day,west,foggy,94.8,10.02,2,8,-6,no,delivered,4,604.06,6.371940928270042,60.28542914171656
80,xpressbees,pharmacy,bike,express,south,hot,56.0,22.91,3,3,0,yes,delayed,2,398.73,7.120178571428572,17.404190309908337
81,ecom express,clothing,scooter,same day,east,stormy,70.7,5.72,8,8,0,yes,delayed,3,470.66,6.6571428571428575,82.28321678321679
82,dhl,documents,bike,same day,east,rainy,60.4,22.93,6,8,-2,no,delivered,5,470.79,7.79453642384106,20.53161796772787
83,blue dart,clothing,truck,same day,central,stormy,258.4,22.08,9,8,1,yes,failed,2,1458.24,5.643343653250774,66.04347826086958
84,amazon logistics,furniture,scooter,two day,central,cold,89.3,34.98,4,16,-12,no,delivered,4,551.44,6.1751399776035845,15.764436821040597
85,shadowfax,electronics,van,two day,south,clear,244.0,13.62,7,16,-9,no,delivered,4,1260.86,5.167459016393442,92.5741556534508
86,xpressbees,electronics,truck,standard,south,stormy,87.8,19.77,8,24,-16,no,delivered,4,498.31,5.675512528473805,25.205361659079415
87,delhivery,furniture,scooter,same day,east,stormy,3.6,20.7,3,8,-5,no,delivered,4,172.6,47.94444444444444,8.33816425120773
88,ekart,furniture,van,two day,south,cold,3.6,8.75,0,16,-16,no,delivered,3,95.6674,26.574277777777777,10.933417142857143
89,xpressbees,documents,van,standard,east,rainy,111.0,36.68,9,24,-15,no,delivered,4,665.04,5.991351351351351,18.130861504907305
90,amazon logistics,groceries,bike,express,east,rainy,256.4,33.53,11,7,4,yes,delayed,3,1432.59,5.587324492979719,42.725618848792124
91,dhl,groceries,ev van,same day,east,foggy,177.9,20.16,7,8,-1,no,delivered,5,1049.98,5.902079820123665,52.08234126984127
92,amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.09,9,16,-7,no,delivered,4,1045.27,5.118854064642507,129.2051915945612
93,amazon logistics,furniture,ev bike,standard,central,cold,125.0,39.41,4,24,-20,no,delivered,5,743.23,5.9458400000000005,18.85891905607714
94,dhl,fragile items,bike,two day,north,hot,83.3,34.71,4,16,-12,no,delivered,4,520.63,6.250060024009604,14.999423797176606
95,ecom express,clothing,van,standard,west,foggy,193.2,33.28,7,24,-17,no,delivered,4,1065.84,5.516770186335403,32.02644230769231
96,ekart,clothing,van,two day,east,foggy,174.3,47.29,10,16,-6,no,delivered,5,1013.37,5.81394148020654,21.42884330725312
97,ekart,groceries,bike,same day,west,clear,11.4,40.22,1,8,-7,no,delivered,5,277.66,24.356140350877194,6.9035305818001005
98,xpressbees,electronics,ev van,express,east,clear,166.4,44.96,6,5,1,yes,delayed,2,1016.88,6.111057692307692,22.61743772241993
99,shadowfax,cosmetics,van,standard,west,stormy,189.6,38.07,11,24,-13,no,delivered,5,1062.21,5.60237341772152,27.901497241922776
100,blue dart,groceries,truck,express,west,stormy,111.2,37.33,6,4,2,yes,delayed,2,717.99,6.456744604316547,19.23359228502545
101,amazon logistics,groceries,ev bike,same day,west,hot,103.2,37.97,4,8,-4,no,delivered,5,729.91,7.0727713178294564,19.223334211219385
102,blue dart,furniture,scooter,standard,east,clear,236.4,47.28,9,24,-15,no,delivered,4,1323.84,5.6,27.999999999999996
103,amazon logistics,electronics,van,same day,central,clear,111.9,26.34,5,8,-3,no,delivered,5,738.52,6.599821268990169,28.037965072133638
104,delhivery,groceries,ev van,standard,south,stormy,86.6,20.64,8,24,-16,no,delivered,5,494.92,5.715011547344111,23.978682170542637
105,amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,5,24,-19,no,delivered,5,1322.21,5.612096774193549,27.50592885375494
106,amazon logistics,pharmacy,truck,same day,south,cold,295.5,48.45,6,8,-2,no,delivered,4,1632.7206,5.525281218274112,33.69908359133127
107,amazon logistics,pharmacy,truck,two day,west,foggy,56.3,43.65,5,16,-11,no,delivered,5,412.45,7.325932504440497,9.449026345933563
108,shadowfax,furniture,bike,two day,central,stormy,114.2,28.82,6,16,-10,no,delivered,5,657.46,5.757092819614711,22.81263011797363
109,fedex,furniture,scooter,same day,north,hot,3.6,31.41,2,8,-6,no,delivered,4,203.23,56.452777777777776,6.47023241006049
110,xpressbees,automobile parts,bike,same day,west,stormy,146.2,22.55,9,8,1,yes,failed,2,898.65,6.14671682626539,39.851441241685144
111,ekart,automobile parts,ev bike,same day,east,clear,85.6,10.69,3,8,-5,no,delivered,4,560.07,6.542873831775702,52.391955098222645
112,amazon logistics,groceries,ev van,express,south,rainy,247.9,5.23,9,6,3,yes,failed,2,1305.19,5.264985881403792,249.55831739961758
113,shadowfax,automobile parts,bike,standard,south,foggy,274.8,0.82,9,24,-15,no,delivered,4,1376.46,5.008951965065502,1678.609756097561
114,fedex,electronics,scooter,standard,west,clear,35.7,10.8,3,24,-21,no,delivered,3,210.9,5.9075630252100835,19.52777777777778
115,fedex,documents,van,express,central,stormy,259.3,27.01,8,7,1,yes,failed,1,1427.53,5.505322020825298,52.851906701221765
116,shadowfax,documents,ev bike,same day,south,clear,65.3,45.09,4,8,-4,no,delivered,5,561.77,8.60290964777948,12.458860057662452
117,delhivery,cosmetics,van,express,south,clear,93.1,20.89,2,3,-1,no,delivered,3,578.17,6.210204081632653,27.676878889420774
118,blue dart,pharmacy,bike,standard,central,hot,265.8,32.11,9,24,-15,no,delivered,5,1425.33,5.362415349887133,44.388975397072564
119,ekart,furniture,truck,two day,west,clear,110.2,23.24,4,16,-12,no,delivered,4,620.72,5.632667876588022,26.709122203098108
120,blue dart,documents,bike,standard,west,clear,6.0,0.88,1,24,-23,no,delivered,4,95.6674,15.944566666666667,108.71295454545455
121,dhl,furniture,truck,two day,east,foggy,16.5,21.49,2,16,-14,no,delivered,4,146.97,8.907272727272726,6.838994881340159
122,xpressbees,documents,ev van,standard,north,cold,102.0,18.67,4,24,-20,no,delivered,4,566.01,5.549117647058823,30.316550615961432
123,shadowfax,furniture,bike,express,north,rainy,265.4,15.96,13,7,6,yes,delayed,3,1424.88,5.368801808590807,89.2781954887218
124,fedex,groceries,ev van,two day,north,foggy,27.5,15.43,2,16,-14,no,delivered,5,183.79,6.683272727272727,11.911211924821776
125,amazon logistics,fragile items,truck,two day,south,hot,59.5,7.79,2,16,-14,no,delivered,3,320.87,5.392773109243698,41.18998716302953
126,shadowfax,cosmetics,bike,express,north,cold,290.2,29.26,6,7,-1,no,delivered,4,1588.78,5.474776016540317,54.298701298701296
127,delhivery,clothing,scooter,standard,east,rainy,124.0,40.2,8,24,-16,no,delivered,4,740.6,5.97258064516129,18.422885572139304
128,xpressbees,automobile parts,scooter,two day,north,clear,261.9,41.68,9,16,-7,no,delivered,4,1434.54,5.477434135166094,34.4179462571977
129,shadowfax,pharmacy,ev van,two day,central,rainy,115.6,13.57,8,16,-8,no,delivered,5,618.71,5.352162629757786,45.59395725865881
130,shadowfax,groceries,ev bike,express,east,hot,156.0,14.49,2,5,-3,no,delivered,3,873.47,5.599166666666667,60.28088336783989
131,shadowfax,furniture,van,standard,north,foggy,284.1,14.35,9,24,-15,no,delivered,4,1463.55,5.151531151003168,101.98954703832753
132,fedex,clothing,truck,same day,north,cold,287.0,8.21,10,8,2,yes,failed,1,1559.63,5.43425087108014,189.96711327649209
133,delhivery,electronics,van,two day,north,foggy,50.5,31.28,2,16,-14,no,delivered,4,346.34,6.858217821782178,11.072250639386189
134,shadowfax,groceries,van,two day,west,foggy,203.3,7.5,7,16,-9,no,delivered,4,1039.0,5.110673880964092,138.53333333333333
135,amazon logistics,fragile items,truck,same day,west,hot,127.8,20.03,2,8,-6,no,delivered,3,799.09,6.252660406885759,39.89465801298053
136,ekart,groceries,scooter,two day,east,cold,45.8,27.22,1,16,-15,no,delivered,5,310.66,6.782969432314411,11.412931667891257
137,shadowfax,groceries,ev bike,same day,west,hot,8.7,33.93,0,8,-8,no,delivered,5,245.29,28.19425287356322,7.229295608605954
138,delhivery,automobile parts,ev van,standard,north,rainy,152.8,48.37,6,24,-18,no,delivered,4,909.11,5.94967277486911,18.7949142030184
139,dhl,automobile parts,ev van,same day,south,rainy,29.0,40.89,5,8,-3,no,delivered,4,367.67,12.678275862068967,8.99168500855955
140,dhl,furniture,scooter,standard,north,clear,281.6,19.81,8,24,-16,no,delivered,3,1467.43,5.211044034090909,74.07521453811208
141,ecom express,electronics,van,same day,east,stormy,75.7,41.47,8,8,0,yes,delayed,2,602.91,7.964464993394979,14.538461538461538
142,blue dart,cosmetics,scooter,standard,north,cold,132.5,14.18,3,24,-21,no,delivered,4,705.04,5.3210566037735845,49.72073342736248
143,ekart,cosmetics,truck,standard,west,rainy,218.2,34.0,10,24,-14,no,delivered,5,1193.0,5.467461044912924,35.088235294117645
144,dhl,automobile parts,scooter,express,east,rainy,152.8,10.46,8,5,3,yes,delayed,2,845.38,5.532591623036649,80.82026768642447
145,ecom express,automobile parts,van,same day,west,cold,113.8,21.95,4,8,-4,no,delivered,3,734.85,6.457381370826011,33.47835990888383
146,amazon logistics,pharmacy,bike,standard,east,clear,189.3,30.78,7,24,-17,no,delivered,5,1038.84,5.487797147385102,33.75048732943469
147,delhivery,electronics,truck,two day,north,rainy,60.1,40.63,5,16,-11,no,delivered,3,422.39,7.028119800332778,10.396012798424808
148,ekart,documents,truck,same day,south,foggy,147.7,46.57,6,8,-2,no,delivered,4,978.21,6.622951929587002,21.005153532316942
149,amazon logistics,cosmetics,truck,two day,north,cold,289.0,48.99,6,16,-10,no,delivered,4,1591.97,5.508546712802768,32.49581547254542
150,delhivery,pharmacy,van,express,north,cold,235.6,42.35,7,6,1,yes,delayed,3,1355.05,5.751485568760611,31.996458087367177
151,amazon logistics,groceries,ev bike,same day,central,cold,101.1,9.76,4,8,-4,no,delivered,4,634.78,6.278733926805144,65.0389344262295
152,ekart,groceries,truck,two day,central,cold,273.9,42.56,6,16,-10,no,delivered,3,1497.18,5.466155531215773,35.1781015037594
153,ecom express,cosmetics,scooter,standard,north,clear,262.6,29.36,4,24,-20,no,delivered,4,1401.08,5.335415079969534,47.72070844686648
154,ekart,groceries,van,two day,east,clear,82.2,18.81,2,16,-14,no,delivered,3,467.43,5.686496350364964,24.85007974481659
155,dhl,clothing,truck,same day,south,cold,280.3,15.29,7,8,-1,no,delivered,4,1547.37,5.520406707099536,101.20143884892086
156,shadowfax,automobile parts,bike,same day,east,foggy,146.1,36.12,8,8,0,yes,delayed,2,938.86,6.426146475017112,25.99280177187154
157,blue dart,groceries,van,same day,west,clear,279.9,21.63,12,8,4,yes,failed,2,1564.39,5.58910325116113,72.32501155802127
158,shadowfax,documents,ev van,same day,south,stormy,165.4,43.2,11,8,3,yes,delayed,2,1056.6,6.388149939540507,24.45833333333333
159,fedex,electronics,van,two day,central,cold,29.9,47.31,2,16,-14,no,delivered,3,291.43,9.746822742474917,6.16000845487212
160,amazon logistics,furniture,truck,standard,north,hot,42.6,44.55,1,24,-23,no,delivered,4,346.65,8.13732394366197,7.781144781144781
161,ecom express,automobile parts,ev bike,standard,east,foggy,149.9,23.31,10,24,-14,no,delivered,4,819.43,5.466511007338225,35.15358215358216
162,shadowfax,clothing,scooter,standard,west,rainy,8.4,44.16,4,24,-20,no,delivered,4,174.48,20.77142857142857,3.9510869565217392
163,dhl,documents,ev bike,two day,east,hot,230.8,30.01,6,16,-10,no,delivered,4,1244.03,5.390077989601386,41.453848717094296
164,dhl,clothing,bike,express,west,clear,93.0,9.37,2,3,-1,no,delivered,4,543.11,5.8398924731182795,57.96264674493064
165,dhl,electronics,van,two day,west,clear,10.4,4.59,1,16,-15,no,delivered,4,95.6674,9.198788461538461,20.84257080610022
166,amazon logistics,pharmacy,truck,two day,north,hot,194.9,2.42,4,16,-12,no,delivered,4,981.76,5.037249871729092,405.68595041322317
167,ekart,documents,scooter,express,west,rainy,182.1,2.26,11,5,6,yes,delayed,2,967.28,5.3118066996155955,428.0
168,blue dart,cosmetics,ev bike,standard,south,clear,38.8,40.89,3,24,-21,no,delivered,4,316.67,8.16159793814433,7.744436292492052
169,dhl,groceries,bike,two day,north,cold,55.2,6.78,1,16,-15,no,delivered,3,296.34,5.368478260869565,43.70796460176991
170,delhivery,pharmacy,truck,express,east,stormy,223.3,44.36,12,6,6,yes,failed,1,1299.58,5.819883564711151,29.29621280432822
171,delhivery,electronics,truck,express,west,hot,46.2,14.83,2,2,0,no,delivered,5,325.49,7.045238095238095,21.94807821982468
172,delhivery,documents,ev bike,two day,south,hot,3.6,49.52,1,16,-15,no,delivered,5,163.39,45.386111111111106,3.299474959612277
173,xpressbees,groceries,scooter,express,north,hot,297.1,22.0,5,8,-3,no,delivered,5,1615.5,5.437563110063951,73.43181818181819
174,xpressbees,electronics,bike,express,central,hot,87.8,7.72,3,3,0,no,delivered,5,512.16,5.833257403189066,66.34196891191709
175,xpressbees,groceries,truck,express,central,hot,267.4,11.53,9,7,2,yes,delayed,2,1421.59,5.316342557965595,123.29488291413703
176,fedex,furniture,ev van,two day,east,stormy,124.8,10.84,10,16,-6,no,delivered,4,656.52,5.260576923076923,60.564575645756456
177,xpressbees,groceries,ev bike,express,south,clear,288.9,8.3,6,7,-1,no,delivered,4,1519.4,5.25925925925926,183.06024096385542
178,blue dart,furniture,scooter,two day,central,hot,129.5,39.84,4,16,-12,no,delivered,4,767.02,5.922934362934363,19.25251004016064
179,ecom express,fragile items,van,same day,south,foggy,225.0,7.32,11,8,3,yes,delayed,3,1246.96,5.5420444444444446,170.34972677595627
180,fedex,cosmetics,scooter,standard,south,stormy,289.7,24.36,14,24,-10,no,delivered,5,1521.58,5.252260959613393,62.46223316912972
181,ecom express,electronics,ev bike,standard,south,rainy,85.4,41.07,7,24,-17,no,delivered,4,550.21,6.4427400468384075,13.396883369856344
182,blue dart,pharmacy,truck,same day,east,hot,9.9,30.24,0,8,-8,no,delivered,3,240.22,24.264646464646464,7.943783068783069
183,fedex,automobile parts,van,standard,west,hot,135.1,37.59,4,24,-20,no,delivered,5,788.27,5.8347150259067355,20.97020484171322
184,xpressbees,fragile items,bike,standard,south,stormy,228.6,5.64,9,24,-15,no,delivered,4,1159.92,5.0740157480314965,205.65957446808514
185,fedex,documents,truck,express,north,rainy,169.6,41.44,9,5,4,yes,delayed,3,1022.32,6.027830188679245,24.669884169884174
186,fedex,fragile items,van,express,central,foggy,250.7,29.97,10,7,3,yes,failed,2,1393.41,5.558077383326686,46.493493493493496
187,blue dart,fragile items,bike,two day,north,rainy,80.7,0.67,7,16,-9,no,delivered,4,404.76,5.015613382899628,604.1194029850745
188,dhl,groceries,scooter,two day,east,stormy,21.3,41.19,7,16,-9,no,delivered,3,230.07,10.801408450704225,5.58557902403496
189,ekart,fragile items,ev bike,two day,north,clear,67.1,32.91,2,16,-14,no,delivered,4,434.23,6.471385991058123,13.194469766028565
190,ekart,pharmacy,ev bike,standard,west,foggy,69.4,0.99,5,24,-19,no,delivered,3,349.97,5.042795389048991,353.5050505050505
191,xpressbees,cosmetics,van,two day,south,cold,101.2,39.37,2,16,-14,no,delivered,5,624.11,6.167094861660079,15.852425704851411
192,shadowfax,cosmetics,ev bike,two day,north,rainy,94.2,49.37,5,16,-11,no,delivered,4,619.11,6.572292993630573,12.540206603200325
193,shadowfax,fragile items,ev bike,same day,north,foggy,71.0,32.56,5,8,-3,no,delivered,3,552.68,7.784225352112675,16.97420147420147
194,dhl,automobile parts,truck,two day,east,foggy,37.4,42.36,3,16,-13,no,delivered,4,314.08,8.397860962566845,7.414542020774315
195,ecom express,fragile items,scooter,two day,north,cold,157.0,43.03,3,16,-13,no,delivered,4,914.09,5.822229299363057,21.243086218917036
196,delhivery,groceries,van,same day,east,cold,213.7,49.52,5,8,-3,no,delivered,5,1317.81,6.166635470285447,26.61167205169628
197,dhl,pharmacy,ev bike,express,central,cold,272.6,12.84,8,7,1,yes,delayed,2,1451.52,5.324724871606749,113.04672897196262
198,blue dart,pharmacy,scooter,express,south,stormy,83.5,24.02,7,3,4,yes,delayed,2,539.56,6.461796407185628,22.46294754371357
199,dhl,fragile items,truck,express,central,foggy,198.5,20.1,4,5,-1,no,delivered,5,1102.8,5.555667506297229,54.86567164179104
200,ecom express,groceries,ev bike,express,west,hot,158.7,35.06,6,5,1,yes,failed,2,948.68,5.977819785759294,27.058756417569878
201,dhl,documents,truck,same day,north,clear,265.3,31.8,5,8,-3,no,delivered,5,1521.9,5.7365246890312855,47.85849056603774
202,ecom express,cosmetics,truck,express,east,stormy,208.8,22.83,9,6,3,yes,delayed,2,1162.49,5.567480842911877,50.91940429259746
203,fedex,automobile parts,scooter,express,east,rainy,55.7,46.5,3,3,0,yes,failed,1,468.0,8.402154398563734,10.064516129032258
204,xpressbees,automobile parts,van,standard,east,foggy,80.6,45.16,4,24,-20,no,delivered,3,538.48,6.680893300248139,11.92382639503986
205,fedex,clothing,bike,same day,east,stormy,187.7,6.69,13,8,5,yes,delayed,3,1058.57,5.6396909962706445,158.2316890881913
206,ekart,automobile parts,bike,standard,south,foggy,225.6,22.83,9,24,-15,no,delivered,5,1196.49,5.303590425531915,52.40867279894876
